iter	Passed	Remaining
0	2	2361
1	4	2189
2	6	2175
3	9	2286
4	11	2266
5	13	2234
6	15	2226
7	17	2224
8	20	2208
9	22	2203
10	24	2179
11	26	2194
12	28	2189
13	30	2170
14	32	2164
15	34	2147
16	37	2169
17	39	2163
18	41	2165
19	44	2179
20	47	2191
21	49	2179
22	50	2157
23	53	2158
24	55	2158
25	57	2145
26	59	2128
27	61	2125
28	63	2116
29	65	2103
30	66	2089
31	68	2080
32	70	2063
33	72	2055
34	74	2062
35	76	2054
36	78	2035
37	80	2028
38	82	2023
39	84	2024
40	86	2017
41	88	2014
42	90	2007
43	92	2006
44	94	2001
45	96	1996
46	98	1990
47	100	1984
48	102	1985
49	104	1980
50	106	1975
51	108	1969
52	109	1962
53	111	1957
54	113	1950
55	115	1944
56	117	1940
57	119	1933
58	121	1932
59	123	1928
60	124	1920
61	126	1916
62	128	1915
63	130	1908
64	132	1904
65	134	1900
66	136	1897
67	138	1897
68	140	1899
69	142	1896
70	144	1892
71	146	1891
72	148	1891
73	150	1885
74	152	1881
75	154	1877
76	156	1870
77	158	1868
78	160	1865
79	162	1864
80	164	1863
81	166	1862
82	168	1861
83	170	1861
84	172	1859
85	174	1857
86	176	1853
87	178	1854
88	180	1852
89	183	1851
90	185	1849
91	187	1848
92	189	1845
93	191	1843
94	193	1842
95	195	1840
96	197	1840
97	199	1837
98	201	1834
99	203	1829
100	205	1831
101	207	1827
102	209	1825
103	211	1820
104	213	1818
105	215	1816
106	217	1814
107	219	1812
108	221	1810
109	223	1809
110	225	1807
111	228	1808
112	230	1806
113	232	1805
114	234	1805
115	236	1804
116	238	1803
117	241	1803
118	243	1803
119	245	1803
120	247	1800
121	249	1798
122	251	1795
123	253	1794
124	256	1792
125	257	1789
126	259	1785
127	261	1782
128	264	1783
129	266	1781
130	268	1778
131	270	1776
132	272	1774
133	274	1770
134	276	1769
135	278	1767
136	280	1766
137	282	1764
138	284	1761
139	286	1758
140	288	1756
141	289	1751
142	291	1748
143	293	1745
144	295	1743
145	297	1742
146	299	1738
147	301	1735
148	303	1733
149	305	1730
150	307	1730
151	309	1726
152	311	1722
153	312	1718
154	314	1716
155	316	1714
156	319	1713
157	320	1709
158	322	1706
159	324	1703
160	326	1701
161	328	1698
162	330	1694
163	331	1692
164	333	1690
165	336	1689
166	338	1686
167	340	1684
168	341	1680
169	343	1678
170	346	1677
171	348	1675
172	350	1674
173	352	1672
174	354	1671
175	356	1668
176	358	1666
177	360	1663
178	361	1659
179	363	1657
180	365	1655
181	367	1651
182	369	1649
183	371	1646
184	373	1644
185	375	1642
186	377	1640
187	379	1637
188	381	1635
189	383	1633
190	385	1631
191	387	1628
192	388	1626
193	390	1624
194	393	1622
195	394	1619
196	396	1618
197	398	1615
198	400	1613
199	402	1611
200	404	1609
201	406	1606
202	408	1603
203	410	1601
204	411	1597
205	413	1594
206	415	1592
207	417	1590
208	419	1587
209	421	1585
210	423	1583
211	425	1580
212	427	1578
213	429	1576
214	431	1574
215	433	1572
216	434	1569
217	436	1567
218	438	1565
219	441	1563
220	442	1561
221	444	1558
222	446	1555
223	448	1553
224	450	1551
225	452	1548
226	453	1545
227	455	1543
228	457	1541
229	459	1539
230	461	1537
231	463	1535
232	465	1532
233	467	1529
234	469	1528
235	471	1526
236	473	1523
237	475	1521
238	477	1520
239	479	1518
240	481	1515
241	483	1514
242	485	1513
243	488	1512
244	490	1510
245	492	1508
246	494	1507
247	496	1506
248	498	1504
249	501	1504
250	503	1501
251	505	1501
252	507	1499
253	509	1497
254	511	1495
255	514	1494
256	516	1492
257	518	1491
258	520	1488
259	522	1487
260	524	1486
261	526	1483
262	528	1481
263	530	1479
264	532	1478
265	534	1475
266	536	1473
267	538	1471
268	540	1469
269	543	1468
270	545	1467
271	547	1465
272	549	1462
273	551	1460
274	553	1459
275	555	1457
276	557	1454
277	559	1452
278	561	1450
279	563	1448
280	565	1446
281	567	1444
282	569	1443
283	571	1441
284	573	1439
285	575	1437
286	578	1436
287	579	1433
288	581	1431
289	583	1429
290	585	1426
291	587	1424
292	589	1423
293	592	1421
294	594	1419
295	596	1418
296	598	1416
297	600	1414
298	602	1412
299	604	1410
300	606	1408
301	608	1406
302	610	1403
303	612	1401
304	614	1399
305	616	1397
306	618	1396
307	620	1394
308	623	1394
309	625	1392
310	627	1391
311	630	1389
312	632	1387
313	634	1386
314	636	1384
315	639	1383
316	641	1381
317	643	1379
318	645	1377
319	647	1375
320	649	1373
321	651	1371
322	653	1369
323	655	1367
324	657	1366
325	659	1364
326	661	1362
327	664	1360
328	666	1358
329	668	1356
330	670	1354
331	672	1353
332	674	1350
333	676	1348
334	678	1346
335	680	1344
336	682	1342
337	684	1340
338	686	1338
339	688	1336
340	690	1334
341	692	1332
342	694	1331
343	696	1329
344	698	1326
345	701	1325
346	703	1323
347	705	1321
348	707	1318
349	708	1316
350	710	1314
351	713	1312
352	715	1310
353	717	1308
354	718	1306
355	720	1304
356	723	1302
357	725	1300
358	727	1298
359	729	1296
360	731	1294
361	733	1292
362	735	1289
363	737	1287
364	739	1286
365	741	1284
366	743	1282
367	745	1280
368	748	1279
369	750	1277
370	752	1275
371	754	1273
372	756	1271
373	758	1270
374	760	1267
375	762	1265
376	764	1263
377	767	1262
378	769	1260
379	771	1258
380	773	1256
381	775	1254
382	777	1253
383	779	1250
384	781	1249
385	784	1247
386	786	1245
387	788	1243
388	790	1241
389	792	1239
390	794	1237
391	796	1234
392	798	1232
393	800	1230
394	802	1228
395	804	1226
396	806	1224
397	808	1222
398	810	1220
399	812	1218
400	814	1216
401	816	1214
402	818	1212
403	820	1209
404	822	1207
405	824	1206
406	826	1204
407	828	1202
408	830	1199
409	832	1198
410	834	1196
411	836	1194
412	838	1191
413	840	1189
414	842	1187
415	844	1185
416	846	1183
417	848	1181
418	850	1179
419	852	1177
420	854	1175
421	856	1173
422	859	1171
423	861	1170
424	863	1168
425	865	1166
426	867	1164
427	869	1162
428	871	1160
429	873	1158
430	875	1156
431	877	1154
432	880	1152
433	882	1150
434	884	1148
435	886	1146
436	888	1144
437	890	1142
438	892	1140
439	894	1138
440	897	1137
441	899	1135
442	901	1133
443	903	1131
444	905	1129
445	908	1127
446	910	1126
447	911	1123
448	913	1121
449	915	1119
450	918	1117
451	919	1115
452	921	1113
453	923	1111
454	926	1109
455	928	1107
456	930	1105
457	932	1103
458	934	1101
459	936	1099
460	938	1097
461	940	1095
462	942	1093
463	945	1091
464	947	1089
465	949	1087
466	950	1085
467	953	1083
468	955	1081
469	957	1079
470	959	1077
471	961	1075
472	964	1074
473	966	1072
474	968	1070
475	970	1068
476	972	1066
477	974	1064
478	976	1062
479	978	1060
480	980	1058
481	983	1056
482	985	1054
483	987	1052
484	989	1050
485	991	1048
486	993	1047
487	996	1045
488	998	1043
489	1000	1041
490	1002	1039
491	1004	1037
492	1006	1035
493	1008	1033
494	1011	1031
495	1012	1029
496	1015	1027
497	1017	1025
498	1019	1023
499	1021	1021
500	1023	1019
501	1025	1016
502	1027	1014
503	1029	1012
504	1031	1011
505	1033	1009
506	1035	1007
507	1037	1005
508	1040	1003
509	1042	1001
510	1044	999
511	1046	997
512	1048	995
513	1050	993
514	1052	991
515	1054	989
516	1056	987
517	1059	985
518	1061	983
519	1063	981
520	1065	979
521	1067	977
522	1069	975
523	1072	973
524	1074	971
525	1076	970
526	1079	968
527	1081	966
528	1083	964
529	1085	962
530	1087	960
531	1089	958
532	1091	956
533	1093	954
534	1096	952
535	1097	950
536	1099	948
537	1101	945
538	1103	943
539	1105	941
540	1107	939
541	1109	937
542	1111	935
543	1113	933
544	1115	931
545	1118	929
546	1120	927
547	1121	925
548	1124	923
549	1125	921
550	1128	919
551	1129	917
552	1132	915
553	1134	913
554	1136	910
555	1138	908
556	1140	906
557	1142	904
558	1144	902
559	1146	900
560	1148	898
561	1150	896
562	1152	894
563	1154	892
564	1156	890
565	1159	888
566	1161	886
567	1163	884
568	1165	882
569	1167	880
570	1169	878
571	1171	876
572	1173	874
573	1175	872
574	1177	870
575	1180	868
576	1182	866
577	1184	864
578	1186	862
579	1188	860
580	1190	858
581	1192	856
582	1194	854
583	1197	852
584	1199	850
585	1201	848
586	1203	846
587	1205	844
588	1208	842
589	1209	840
590	1211	838
591	1213	836
592	1215	834
593	1217	832
594	1219	830
595	1221	828
596	1223	826
597	1225	824
598	1227	822
599	1229	819
600	1232	817
601	1234	816
602	1236	814
603	1238	812
604	1240	810
605	1243	808
606	1245	806
607	1247	804
608	1249	802
609	1252	800
610	1254	798
611	1256	796
612	1258	794
613	1260	792
614	1262	790
615	1264	788
616	1266	786
617	1268	784
618	1270	782
619	1272	780
620	1274	777
621	1276	775
622	1278	773
623	1281	771
624	1283	769
625	1285	767
626	1287	765
627	1289	763
628	1291	761
629	1293	759
630	1295	757
631	1298	755
632	1300	753
633	1302	751
634	1304	749
635	1306	747
636	1308	745
637	1311	743
638	1312	741
639	1314	739
640	1317	737
641	1319	735
642	1321	733
643	1323	731
644	1326	729
645	1328	728
646	1330	726
647	1332	723
648	1335	722
649	1337	720
650	1339	718
651	1341	716
652	1343	713
653	1345	711
654	1347	709
655	1349	707
656	1351	705
657	1353	703
658	1355	701
659	1357	699
660	1359	697
661	1361	695
662	1363	693
663	1365	690
664	1367	688
665	1369	686
666	1371	684
667	1373	682
668	1375	680
669	1377	678
670	1379	676
671	1380	673
672	1382	671
673	1384	669
674	1386	667
675	1388	665
676	1389	663
677	1391	661
678	1394	659
679	1396	657
680	1397	654
681	1399	652
682	1401	650
683	1403	648
684	1405	646
685	1407	644
686	1409	642
687	1411	639
688	1413	637
689	1415	635
690	1417	633
691	1419	631
692	1420	629
693	1422	627
694	1424	625
695	1426	623
696	1428	621
697	1430	619
698	1432	616
699	1434	614
700	1436	612
701	1438	610
702	1440	608
703	1442	606
704	1444	604
705	1446	602
706	1448	600
707	1450	598
708	1452	596
709	1454	593
710	1456	591
711	1458	589
712	1460	587
713	1462	585
714	1464	583
715	1466	581
716	1468	579
717	1470	577
718	1472	575
719	1473	573
720	1475	570
721	1477	569
722	1479	566
723	1481	564
724	1483	562
725	1485	560
726	1487	558
727	1489	556
728	1491	554
729	1493	552
730	1495	550
731	1497	548
732	1499	546
733	1501	544
734	1503	542
735	1505	539
736	1507	537
737	1509	535
738	1511	533
739	1512	531
740	1514	529
741	1516	527
742	1518	525
743	1520	523
744	1522	521
745	1524	519
746	1526	516
747	1528	514
748	1530	512
749	1532	510
750	1534	508
751	1536	506
752	1538	504
753	1540	502
754	1541	500
755	1544	498
756	1546	496
757	1547	494
758	1549	492
759	1551	490
760	1553	488
761	1555	485
762	1557	483
763	1559	481
764	1561	479
765	1563	477
766	1565	475
767	1567	473
768	1569	471
769	1571	469
770	1573	467
771	1575	465
772	1577	463
773	1579	461
774	1582	459
775	1584	457
776	1586	455
777	1588	453
778	1590	451
779	1592	449
780	1594	447
781	1596	445
782	1599	443
783	1601	441
784	1602	439
785	1604	436
786	1606	434
